
controlfile = +DATA/racdb/controlfile/current.282.877213289                     
controlfile = +FLASH/racdb/controlfile/current.260.877213289                    
datafile (file#_name) = 10_+DATA/racdb/datafile/vms.271.877213843               
datafile (file#_name) = 11_+DATA/racdb/datafile/vms.273.877213643               
datafile (file#_name) = 12_+DATA/racdb/datafile/vms.260.877213929               
datafile (file#_name) = 13_+DATA/racdb/datafile/vms.263.877214053               
datafile (file#_name) = 14_+DATA/racdb/datafile/vms.266.877214139               
datafile (file#_name) = 15_+DATA/racdb/datafile/vms.276.877214215               
datafile (file#_name) = 16_+DATA/racdb/datafile/vms.274.877214321               
datafile (file#_name) = 17_+DATA/racdb/datafile/vms.275.877214425               
datafile (file#_name) = 18_+DATA/racdb/datafile/vms.283.877214611               
datafile (file#_name) = 19_+DATA/racdb/datafile/vms.284.877214727               
datafile (file#_name) = 1_+DATA/racdb/datafile/system.280.877213747             

datafile (file#_name) = 20_+DATA/racdb/datafile/vms.285.877214873               
datafile (file#_name) = 21_+DATA/racdb/datafile/vms.286.877214969               
datafile (file#_name) = 22_+DATA/racdb/datafile/vms.287.877215063               
datafile (file#_name) = 23_+DATA/racdb/datafile/vms.288.877215179               
datafile (file#_name) = 24_+DATA/racdb/datafile/vms.289.877215273               
datafile (file#_name) = 25_+DATA/racdb/datafile/vms.290.877215369               
datafile (file#_name) = 26_+DATA/racdb/datafile/vms.291.877215505               
datafile (file#_name) = 27_+DATA/racdb/datafile/vms.292.877215589               
datafile (file#_name) = 28_+DATA/racdb/datafile/vms.293.877215685               
datafile (file#_name) = 29_+DATA/racdb/datafile/vms.294.877215771               
datafile (file#_name) = 2_+DATA/racdb/datafile/sysaux.358.877222339             
datafile (file#_name) = 30_+DATA/racdb/datafile/vms.295.877215855               
datafile (file#_name) = 31_+DATA/racdb/datafile/vms.296.877215951               

datafile (file#_name) = 32_+DATA/racdb/datafile/vms.297.877216047               
datafile (file#_name) = 33_+DATA/racdb/datafile/vms.298.877216133               
datafile (file#_name) = 34_+DATA/racdb/datafile/vms.299.877216227               
datafile (file#_name) = 35_+DATA/racdb/datafile/system.360.877222409            
datafile (file#_name) = 36_+DATA/racdb/datafile/system.361.877222425            
datafile (file#_name) = 37_+DATA/racdb/datafile/vms.300.877216333               
datafile (file#_name) = 38_+DATA/racdb/datafile/vms.301.877216429               
datafile (file#_name) = 39_+DATA/racdb/datafile/vms.302.877216513               
datafile (file#_name) = 3_+DATA/racdb/datafile/undotbs1.357.877222253           
datafile (file#_name) = 40_+DATA/racdb/datafile/vms.303.877216609               
datafile (file#_name) = 41_+DATA/racdb/datafile/vms.304.877216697               
datafile (file#_name) = 42_+DATA/racdb/datafile/vms.305.877216791               
datafile (file#_name) = 43_+DATA/racdb/datafile/vms.306.877216877               

datafile (file#_name) = 44_+DATA/racdb/datafile/vms.307.877216973               
datafile (file#_name) = 45_+DATA/racdb/datafile/vms.308.877217077               
datafile (file#_name) = 46_+DATA/racdb/datafile/vms.309.877217173               
datafile (file#_name) = 47_+DATA/racdb/datafile/vms.310.877217259               
datafile (file#_name) = 48_+DATA/racdb/datafile/vms.311.877217353               
datafile (file#_name) = 49_+DATA/racdb/datafile/vms.312.877217439               
datafile (file#_name) = 4_+DATA/racdb/datafile/users.364.877222443              
datafile (file#_name) = 50_+DATA/racdb/datafile/vms.313.877217535               
datafile (file#_name) = 51_+DATA/racdb/datafile/vms.314.877217621               
datafile (file#_name) = 52_+DATA/racdb/datafile/vms.315.877217715               
datafile (file#_name) = 53_+DATA/racdb/datafile/vms.316.877217801               
datafile (file#_name) = 54_+DATA/racdb/datafile/vms.317.877217967               
datafile (file#_name) = 55_+DATA/racdb/datafile/vms.318.877218071               

datafile (file#_name) = 56_+DATA/racdb/datafile/vms.319.877218257               
datafile (file#_name) = 57_+DATA/racdb/datafile/vms.320.877218363               
datafile (file#_name) = 58_+DATA/racdb/datafile/vms.321.877218509               
datafile (file#_name) = 59_+DATA/racdb/datafile/vms.322.877218603               
datafile (file#_name) = 5_+DATA/racdb/datafile/undotbs2.363.877222441           
datafile (file#_name) = 60_+DATA/racdb/datafile/vms.323.877218779               
datafile (file#_name) = 61_+DATA/racdb/datafile/vms.324.877218863               
datafile (file#_name) = 62_+DATA/racdb/datafile/vms.325.877218959               
datafile (file#_name) = 63_+DATA/racdb/datafile/vms.326.877219045               
datafile (file#_name) = 64_+DATA/racdb/datafile/vms.327.877219141               
datafile (file#_name) = 65_+DATA/racdb/datafile/vms.328.877219225               
datafile (file#_name) = 66_+DATA/racdb/datafile/vms.329.877219331               
datafile (file#_name) = 67_+DATA/racdb/datafile/vms.330.877219427               

datafile (file#_name) = 68_+DATA/racdb/datafile/vms.331.877219531               
datafile (file#_name) = 69_+DATA/racdb/datafile/vms.332.877219657               
